SorId;SorType;EntityName;EntityTypeId;EntityTypeName;OrganizationalLevelIdentifier;OrganizationalLevelName;FirstFromDate;FromDate;ToDate;UpdatedAt;ParentSorId;InstitutionOwnerSorId;InstitutionOwnerEntityName;InstitutionOwnerEntityTypeId;InstitutionOwnerEntityTypeName;InstitutionOwnerCvrNumberId;HealthInstitutionSorId;HealthInstitutionEntityName;HealthInstitutionEntityTypeId;HealthInstitutionEntityTypeName;HealthInstitutionProductionUnitId;ProductionUnitId;ShakId;ProviderId;PharmacyId;LocalCode;VirtualAddressInheritanceIndicator;VirtualAddressTelephoneNumber;VirtualAddressWebsite;VirtualAddressEmailAddress;VirtualAddressFaxNumber;EanLocationCodeState;EanLocationCode;EanLocationCodeRegionId;EanLocationCodeRegionName;EanLocationCodeSystemTypeId;EanLocationCodeSystemTypeName;EanLocationCodeSystemSupplierId;EanLocationCodeSystemSupplierName;EanLocationCodeCommunicationSupplierId;EanLocationCodeCommunicationSupplierName;EanLocationCodeOnlyInternalIndicator;EanLocationCodeNonActiveIndicator;EanLocationCodeSorNote;PostalAddressInheritanceIndicator;PostalAddressStreetName;PostalAddressStreetCode;PostalAddressStreetBuildingId;PostalAddressFloorId;PostalAddressSuiteId;PostalAddressAdditionalAddressInfo;PostalAddressPostCodeId;PostalAddressDistrictName;PostalAddressMunicipalityCode;PostalAddressRegionCode;PostalAddressCountryIdCode;PostalAddressCoordETRS89z32NMeasure;PostalAddressCoordETRS89z32EMeasure;GeographicalLocalisationId;GeographicalLocalisationName;VisitingAddressInheritanceIndicator;VisitingAddressStreetCode;VisitingAddressStreetName;VisitingAddressStreetBuildingId;VisitingAddressFloorId;VisitingAddressSuiteId;VisitingAddressAdditionalAddressInfo;VisitingAddressPostCodeId;VisitingAddressDistrictName;VisitingAddressMunicipalityCode;VisitingAddressRegionCode;VisitingAddressCountryIdCode;VisitingAddressCoordETRS89z32NMeasure;VisitingAddressCoordETRS89z32EMeasure;ActivityAddressInheritanceIndicator;ActivityAddressStreetName;ActivityAddressStreetCode;ActivityAddressStreetBuildingId;ActivityAddressFloorId;ActivityAddressSuiteId;ActivityAddressAdditionalAddressInfo;ActivityAddressPostCodeId;ActivityAddressDistrictName;ActivityAddressMunicipalityCode;ActivityAddressRegionCode;ActivityAddressCountryIdCode;ActivityAddressCoordETRS89z32NMeasure;ActivityAddressCoordETRS89z32EMeasure;PrioritizedEntitySpeciality1Id;PrioritizedEntitySpeciality1Name;PrioritizedEntitySpeciality2Id;PrioritizedEntitySpeciality2Name;PrioritizedEntitySpeciality3Id;PrioritizedEntitySpeciality3Name;PrioritizedEntitySpeciality4Id;PrioritizedEntitySpeciality4Name;PrioritizedEntitySpeciality5Id;PrioritizedEntitySpeciality5Name;PrioritizedEntitySpeciality6Id;PrioritizedEntitySpeciality6Name;PrioritizedEntitySpeciality7Id;PrioritizedEntitySpeciality7Name;PrioritizedEntitySpeciality8Id;PrioritizedEntitySpeciality8Name;PatientsAdmittedIndicator;AmbulantActivityIndicator;ReportingLevelIndicator;LocalAttribute1;LocalAttribute2;LocalAttribute3;LocalAttribute4;LocalAttribute5
21000016006;IE;Københavns Kommune;5,47211E+14;kommune;;;01-01-2007 00:00;20-11-2020 00:00;;19-11-2020 09:09;;21000016006;Københavns Kommune;5,47211E+14;kommune;64942212;;;;;;;;;;;FALSE;33663366;www.kk.dk;info@okf.kk.dk;;none;;;;;;;;;;;;;FALSE;Rådhuspladsen;6152;1;;;;1550;København V;101;1084;DK;724434,93;6175755,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2,051E+12;OE;Fjordly Plejehjem;42665001;plejehjem;;;01-01-2007 00:00;05-10-2023 00:00;;04-10-2023 11:26;9,52791E+14;5,91E+11;Kerteminde Kommune;5,47211E+14;kommune;29189706;9,52781E+14;Sundhed, Handicap og Rehabilitering;5,54041E+14;sundhedsforvaltning;;;;;;;FALSE;65152040;www.kerteminde.dk/borger/aeldre/bolig-til-aeldre/plejeboliger/fjordly-plejehjem;bhe@kerteminde.dk;;none;;;;;;;;;;;;;FALSE;Borgmester Hansensvej;0063;7;;;;5300;Kerteminde;440;1083;DK;604435,69;6146265,96;;;TRUE;0063;Borgmester Hansensvej;7;;;;5300;Kerteminde;440;1083;DK;604435,69;6146265,96;TRUE;Borgmester Hansensvej;0063;7;;;;5300;Kerteminde;440;1083;DK;604435,69;6146265,96;;;;;;;;;;;;;;;;;;;;;;;;
2,851E+12;OE;Træning og Aktivitet Rosengården;5,46811E+14;genoptræningsenhed;;;01-01-2007 00:00;17-01-2025 00:00;24-03-2025 00:00;17-03-2025 11:23;1448731000016008;8,01E+11;Syddjurs Kommune;5,47211E+14;kommune;29189978;9,89671E+14;Sundhed og Ældre;5,54041E+14;sundhedsforvaltning;;;;;;;TRUE;87535080;www.syddjurs.dk;syddjurs@syddjurs.dk;;none;;;;;;;;;;;;;FALSE;Tingvej;2033;22;;;;8543;Hornslet;706;1082;DK;581429,87;6242274,99;;;TRUE;2033;Tingvej;22;;;;8543;Hornslet;706;1082;DK;581429,87;6242274,99;TRUE;Tingvej;2033;22;;;;8543;Hornslet;706;1082;DK;581429,87;6242274,99;6,58141E+14;genoptræning efter hospitalsophold;;;;;;;;;;;;;;;;;;;;;;
6,111E+12;IE;Region Hovedstaden;5,50881E+14;region;;;29-08-2007 00:00;05-01-2012 00:00;;20-03-2018 22:22;;6,111E+12;Region Hovedstaden;5,50881E+14;region;29190623;;;;;;;;;;;FALSE;48205000;www.regionhovedstaden.dk;regionh@regionh.dk;;none;;;;;;;;;;;;;FALSE;Kongens Vænge;4849;2;;;;3400;Hillerød;219;1084;DK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,941E+12;SI;Hospitalerne i Nordsjælland;22232009;hospital;22232009;Hospital;12-12-2008 00:00;09-01-2025 00:00;;08-01-2025 14:31;6,111E+12;6,111E+12;Region Hovedstaden;5,50881E+14;region;29190623;7,941E+12;Hospitalerne i Nordsjælland;22232009;hospital;;;2000;;;;FALSE;48294829;;;;none;;;;;;;;;;;;;FALSE;Dyrehavevej;1442;29;;;;3400;Hillerød;219;1084;DK;707711,22;6203426,53;;;TRUE;1442;Dyrehavevej;29;;;;3400;Hillerød;219;1084;DK;707711,22;6203426,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7,951E+12;OE;Hillerød Hospital;5,50811E+14;administrativ enhed;5,68271E+14;Center;12-12-2008 00:00;21-01-2025 00:00;;28-04-2025 12:30;7,941E+12;6,111E+12;Region Hovedstaden;5,50881E+14;region;29190623;7,941E+12;Hospitalerne i Nordsjælland;22232009;hospital;;;2000;;;;TRUE;48294829;;;;none;;;;;;;;;;;;;TRUE;Dyrehavevej;1442;29;;;;3400;Hillerød;219;1084;DK;707711,22;6203426,53;1,361E+12;Nordsjællands Hospital -  Hillerød;TRUE;1442;Dyrehavevej;29;;;;3400;Hillerød;219;1084;DK;707711,22;6203426,53;TRUE;Dyrehavevej;1442;29;;;;3400;Hillerød;219;1084;DK;707711,22;6203426,53;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;HI;;;;HI
4,67261E+14;OE;Voksenambulatorier;5,50851E+14;klinisk enhed;5,68291E+14;Afsnit;17-05-2012 00:00;15-01-2025 00:00;;28-04-2025 12:30;6,33691E+14;2,97511E+14;Filadelfia;5,50891E+14;privat;64723413;2,97521E+14;Epilepsihospitalet Filadelfia;22232009;hospital;;;;;;VAB;TRUE;58264200;www.epilepsihospitalet.dk;epil-sikker@filadelfia.dk;58264220;none;;;;;;;;;;;;;FALSE;Kolonivej;0401;2A;;;;4293;Dianalund;340;1085;DK;657908,89;6156659,31;;;FALSE;0401;Kolonivej;2A;1;;;4293;Dianalund;340;1085;DK;657908,89;6156659,31;TRUE;Kolonivej;0401;2A;1;;;4293;Dianalund;340;1085;DK;657908,89;6156659,31;;;;;;;;;;;;;;;;;FALSE;TRUE;FALSE;VAB;;Sundhedsplatformen;;
4,67371E+14;OE;EMU;5,50851E+14;klinisk enhed;5,68291E+14;Afsnit;17-05-2012 00:00;15-01-2025 00:00;;21-05-2025 12:00;2,97601E+14;2,97511E+14;Filadelfia;5,50891E+14;privat;64723413;2,97521E+14;Epilepsihospitalet Filadelfia;22232009;hospital;;;;;;EMU;FALSE;58271543;www.epilepsihospitalet.dk;epilepsihospitalet@filadelfia.dk;;none;;;;;;;;;;;;;FALSE;Visby Alle;0937;5;;;;4293;Dianalund;340;1085;DK;657936,38;6156628,49;;;TRUE;0937;Visby Alle;5;;;;4293;Dianalund;340;1085;DK;657936,38;6156628,49;TRUE;Visby Alle;0937;5;;;;4293;Dianalund;340;1085;DK;657936,38;6156628,49;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;EMU;;Sundhedsplatformen;;
4,67611E+14;OE;Pascal Bonvin;255203001;supplerende oplysninger;;;29-05-2012 00:00;06-02-2021 00:00;;21-05-2025 12:00;5,97731E+14;9,0591E+13;Speciallægerne Budolfi Plads 1-3 9000 Aalborg;5,50891E+14;privat;19357317;5,97731E+14;Budolfi ØNH klinik- og søvncenter Aalborg;5,50671E+14;speciallægepraksis;;;8034010;089346;;;TRUE;98133044;www.oerelaegerne-budolfi.dk;ent.budolfi@dadlnet.dk;98136619;inherited;5,79E+12;1081;Region Nordjylland;293;EG Clinea;294;EG Healthcare;81000035007;DataGruppen MultiMed A/S;FALSE;FALSE;;TRUE;Budolfi Plads;0899;1;1;;;9000;Aalborg;851;1081;DK;555783,54;6323054,74;;;TRUE;0899;Budolfi Plads;1;1;;;9000;Aalborg;851;1081;DK;555783,54;6323054,74;TRUE;Budolfi Plads;0899;1;1;;;9000;Aalborg;851;1081;DK;555783,54;6323054,74;394604002;oto-rhino-laryngologi;;;;;;;;;;;;;;;;;;;;;;
1501031000016002;OE;Veterancentret Aalborg Kaserne;5,50811E+14;administrativ enhed;;;22-03-2025 00:00;22-03-2025 00:00;;28-04-2025 12:30;1026731000016002;8,89331E+14;Forsvaret Og Forsvarsministeriets Styrelser;398070004;stat;16287180;1026731000016002;Aalborg Kaserne;5,50811E+14;administrativ enhed;;;;;;;FALSE;72819700;;vetc-myn@mil.dk;;none;;;;;;;;;;;;;FALSE;Gammel Høvej;2318;34;;;Bygning 29;9400;Nørresundby;851;1081;DK;558001,1;6327469,63;;;TRUE;2318;Gammel Høvej;34;;;Bygning 29;9400;Nørresundby;851;1081;DK;558001,1;6327469,63;TRUE;Gammel Høvej;2318;34;;;Bygning 29;9400;Nørresundby;851;1081;DK;558001,1;6327469,63;;;;;;;;;;;;;;;;;;;;;;;;
